Soil_Type,Rainfall,Season,Recommended_Crop
Loamy,Medium,Monsoon,Cotton
Sandy,Low,Summer,Millet
Loamy,High,Winter,Maize
Sandy,Low,Summer,Millet
Loamy,Low,Monsoon,Barley
Sandy,High,Winter,Wheat
Loamy,Low,Monsoon,Barley
Sandy,High,Summer,Millet
Clayey,Medium,Summer,Sugarcane
Loamy,Medium,Monsoon,Cotton
Clayey,Low,Winter,Wheat
Loamy,Medium,Monsoon,Cotton
Loamy,High,Summer,Maize
Loamy,Low,Winter,Barley
Sandy,Medium,Summer,Millet
Sandy,Medium,Summer,Millet
Clayey,Low,Winter,Wheat
Clayey,Medium,Winter,Sugarcane
Loamy,Low,Summer,Barley
Loamy,Medium,Monsoon,Cotton
Loamy,Medium,Summer,Cotton
Clayey,Low,Summer,Wheat
Clayey,High,Winter,Rice
Sandy,Low,Summer,Millet
Loamy,High,Monsoon,Maize
Loamy,High,Summer,Maize
Sandy,Medium,Summer,Millet
Clayey,Medium,Summer,Sugarcane
Clayey,Medium,Summer,Sugarcane
Loamy,Medium,Winter,Cotton
Clayey,Medium,Monsoon,Sugarcane
Clayey,High,Summer,Rice
Loamy,Low,Summer,Barley
Clayey,High,Winter,Rice
Clayey,Low,Winter,Wheat
Sandy,Low,Summer,Millet
Clayey,High,Winter,Rice
Clayey,Low,Monsoon,Wheat
Clayey,Low,Monsoon,Wheat
Clayey,High,Summer,Rice
Sandy,Low,Summer,Millet
Sandy,Low,Monsoon,Groundnut
Sandy,Medium,Monsoon,Groundnut
Sandy,Medium,Winter,Wheat
Clayey,Low,Monsoon,Wheat
Clayey,Medium,Monsoon,Sugarcane
Loamy,Medium,Winter,Cotton
Loamy,High,Monsoon,Maize
Loamy,High,Winter,Maize
Clayey,Medium,Monsoon,Sugarcane
Sandy,Low,Monsoon,Groundnut
Clayey,High,Winter,Rice
Clayey,High,Monsoon,Rice
Sandy,Medium,Winter,Wheat
Sandy,Low,Monsoon,Groundnut
Sandy,High,Winter,Wheat
Sandy,Medium,Monsoon,Groundnut
Sandy,Medium,Monsoon,Groundnut
Loamy,Low,Monsoon,Barley
Sandy,High,Monsoon,Groundnut
Sandy,High,Summer,Millet
Sandy,Medium,Winter,Wheat
Loamy,Low,Winter,Barley
Loamy,Low,Monsoon,Barley
Loamy,Medium,Summer,Cotton
Loamy,High,Summer,Maize
Clayey,Medium,Winter,Sugarcane
Sandy,High,Monsoon,Groundnut
Clayey,Low,Winter,Wheat
Clayey,High,Summer,Rice
Clayey,High,Winter,Rice
Clayey,Low,Summer,Wheat
Loamy,High,Winter,Maize
Sandy,Medium,Summer,Millet
Clayey,Medium,Monsoon,Sugarcane
Clayey,High,Monsoon,Rice
Loamy,High,Summer,Maize
Loamy,Low,Winter,Barley
Loamy,Low,Winter,Barley
Sandy,Low,Winter,Wheat
Loamy,High,Summer,Maize
Sandy,Low,Winter,Wheat
Sandy,Low,Monsoon,Groundnut
Sandy,High,Summer,Millet
Sandy,Medium,Monsoon,Groundnut
Clayey,Medium,Winter,Sugarcane
Clayey,Medium,Monsoon,Sugarcane
Clayey,High,Summer,Rice
Sandy,Low,Winter,Wheat
Sandy,High,Monsoon,Groundnut
Loamy,Low,Summer,Barley
Sandy,Medium,Summer,Millet
Loamy,Medium,Summer,Cotton
Sandy,Medium,Monsoon,Groundnut
Sandy,Medium,Winter,Wheat
Loamy,Low,Summer,Barley
Sandy,Medium,Winter,Wheat
Loamy,Low,Winter,Barley
Loamy,High,Winter,Maize
Sandy,High,Winter,Wheat
Sandy,High,Monsoon,Groundnut
Clayey,Medium,Winter,Sugarcane
Loamy,Low,Monsoon,Barley
Sandy,High,Winter,Wheat
Clayey,Low,Summer,Wheat
Loamy,Medium,Winter,Cotton
Loamy,Medium,Summer,Cotton
Loamy,Low,Summer,Barley
Loamy,Medium,Winter,Cotton
Loamy,High,Monsoon,Maize
Loamy,High,Monsoon,Maize
Sandy,High,Summer,Millet
Clayey,High,Monsoon,Rice
Clayey,Low,Monsoon,Wheat
Sandy,Low,Winter,Wheat
Loamy,High,Winter,Maize
Sandy,High,Monsoon,Groundnut
Sandy,High,Summer,Millet
Loamy,Medium,Monsoon,Cotton
Sandy,Low,Winter,Wheat
Clayey,Low,Monsoon,Wheat
Clayey,Low,Summer,Wheat
Sandy,Low,Monsoon,Groundnut
Clayey,Medium,Summer,Sugarcane
Clayey,Medium,Winter,Sugarcane
Clayey,Low,Summer,Wheat
Loamy,Medium,Summer,Cotton
Loamy,Medium,Winter,Cotton
Loamy,High,Monsoon,Maize
Clayey,High,Monsoon,Rice
Clayey,Medium,Summer,Sugarcane
Clayey,High,Monsoon,Rice
Sandy,High,Winter,Wheat
Clayey,High,Summer,Rice
Clayey,Low,Winter,Wheat
